Ecosystem/Croptype,Geolocation,Time_Period,Yield,Year,Quarter,Province,Mean_Temp,Precipitation_Sum,Max_Wind_Gusts
Corn,Albay,2012 Quarter 1,7990.0,2012,1,Albay,25.679652667277168,13446.00003531,63.36
Corn,Camarines Norte,2012 Quarter 1,390.0,2012,1,Camarines Norte,25.394860836996337,8204.79997582,73.439995
Corn,Camarines Sur,2012 Quarter 1,31394.0,2012,1,Camarines Sur,25.598295964062967,24223.7000145,73.439995
Corn,Catanduanes,2012 Quarter 1,54.0,2012,1,Catanduanes,26.08736803785104,7623.40003226,73.799995
Corn,Masbate,2012 Quarter 1,13379.0,2012,1,Masbate,26.226437885400316,8927.39995888,63.72
Corn,Sorsogon,2012 Quarter 1,32.0,2012,1,Sorsogon,25.885631147985347,11374.10003282,68.76
Irrigated Palay,Albay,2012 Quarter 2,51747.0,2012,2,Albay,27.35914241758242,10672.80001423,66.96
Irrigated Palay,Camarines Norte,2012 Quarter 2,13723.0,2012,2,Camarines Norte,27.59969719688645,5092.80003164,61.56
Irrigated Palay,Camarines Sur,2012 Quarter 2,115977.0,2012,2,Camarines Sur,27.417203803088803,19337.30017159,61.920002
Irrigated Palay,Catanduanes,2012 Quarter 2,3037.0,2012,2,Catanduanes,27.956331676434676,3051.39998277,70.2
Irrigated Palay,Masbate,2012 Quarter 2,7509.0,2012,2,Masbate,27.64476050235479,10746.39990673,60.120003
Irrigated Palay,Sorsogon,2012 Quarter 2,23894.0,2012,2,Sorsogon,27.475579353113552,7038.69992111,66.24
Rainfed Palay,Albay,2012 Quarter 2,11420.0,2012,2,Albay,27.35914241758242,10672.80001423,66.96
Rainfed Palay,Camarines Norte,2012 Quarter 2,7944.0,2012,2,Camarines Norte,27.59969719688645,5092.80003164,61.56
Rainfed Palay,Camarines Sur,2012 Quarter 2,19488.0,2012,2,Camarines Sur,27.417203803088803,19337.30017159,61.920002
Rainfed Palay,Catanduanes,2012 Quarter 2,6215.0,2012,2,Catanduanes,27.956331676434676,3051.39998277,70.2
Rainfed Palay,Masbate,2012 Quarter 2,34227.0,2012,2,Masbate,27.64476050235479,10746.39990673,60.120003
Rainfed Palay,Sorsogon,2012 Quarter 2,8549.0,2012,2,Sorsogon,27.475579353113552,7038.69992111,66.24
Palay,Albay,2012 Quarter 2,63167.0,2012,2,Albay,27.35914241758242,10672.80001423,66.96
Palay,Camarines Norte,2012 Quarter 2,21667.0,2012,2,Camarines Norte,27.59969719688645,5092.80003164,61.56
Palay,Camarines Sur,2012 Quarter 2,135465.0,2012,2,Camarines Sur,27.417203803088803,19337.30017159,61.920002
Palay,Catanduanes,2012 Quarter 2,9252.0,2012,2,Catanduanes,27.956331676434676,3051.39998277,70.2
Palay,Masbate,2012 Quarter 2,41736.0,2012,2,Masbate,27.64476050235479,10746.39990673,60.120003
Palay,Sorsogon,2012 Quarter 2,32443.0,2012,2,Sorsogon,27.475579353113552,7038.69992111,66.24
White Corn,Albay,2012 Quarter 2,744.0,2012,2,Albay,27.35914241758242,10672.80001423,66.96
White Corn,Camarines Norte,2012 Quarter 2,409.0,2012,2,Camarines Norte,27.59969719688645,5092.80003164,61.56
White Corn,Camarines Sur,2012 Quarter 2,3579.0,2012,2,Camarines Sur,27.417203803088803,19337.30017159,61.920002
White Corn,Catanduanes,2012 Quarter 2,59.0,2012,2,Catanduanes,27.956331676434676,3051.39998277,70.2
White Corn,Masbate,2012 Quarter 2,1747.0,2012,2,Masbate,27.64476050235479,10746.39990673,60.120003
White Corn,Sorsogon,2012 Quarter 2,21.0,2012,2,Sorsogon,27.475579353113552,7038.69992111,66.24
Yellow Corn,Albay,2012 Quarter 2,26117.0,2012,2,Albay,27.35914241758242,10672.80001423,66.96
Yellow Corn,Camarines Norte,2012 Quarter 2,162.0,2012,2,Camarines Norte,27.59969719688645,5092.80003164,61.56
Yellow Corn,Camarines Sur,2012 Quarter 2,36876.0,2012,2,Camarines Sur,27.417203803088803,19337.30017159,61.920002
Yellow Corn,Catanduanes,2012 Quarter 2,24.0,2012,2,Catanduanes,27.956331676434676,3051.39998277,70.2
Yellow Corn,Masbate,2012 Quarter 2,0.0,2012,2,Masbate,27.64476050235479,10746.39990673,60.120003
Yellow Corn,Sorsogon,2012 Quarter 2,7.0,2012,2,Sorsogon,27.475579353113552,7038.69992111,66.24
Corn,Albay,2012 Quarter 2,26861.0,2012,2,Albay,27.35914241758242,10672.80001423,66.96
Corn,Camarines Norte,2012 Quarter 2,571.0,2012,2,Camarines Norte,27.59969719688645,5092.80003164,61.56
Corn,Camarines Sur,2012 Quarter 2,40455.0,2012,2,Camarines Sur,27.417203803088803,19337.30017159,61.920002
Corn,Catanduanes,2012 Quarter 2,83.0,2012,2,Catanduanes,27.956331676434676,3051.39998277,70.2
Corn,Masbate,2012 Quarter 2,1747.0,2012,2,Masbate,27.64476050235479,10746.39990673,60.120003
Corn,Sorsogon,2012 Quarter 2,28.0,2012,2,Sorsogon,27.475579353113552,7038.69992111,66.24
Irrigated Palay,Albay,2012 Quarter 3,37594.0,2012,3,Albay,26.772222535024152,17968.69989714,90.0
Irrigated Palay,Camarines Norte,2012 Quarter 3,13823.0,2012,3,Camarines Norte,26.934482858695652,10634.99998596,82.079994
Irrigated Palay,Camarines Sur,2012 Quarter 3,104962.0,2012,3,Camarines Sur,26.75983497003525,35938.29998361,87.84
Irrigated Palay,Catanduanes,2012 Quarter 3,3197.0,2012,3,Catanduanes,27.493745570048308,5282.89998438,83.88
Irrigated Palay,Masbate,2012 Quarter 3,11772.0,2012,3,Masbate,27.117488413561077,15758.09994519,81.0
Irrigated Palay,Sorsogon,2012 Quarter 3,24060.0,2012,3,Sorsogon,26.983533742028985,10578.49996664,93.6
Rainfed Palay,Albay,2012 Quarter 3,5959.0,2012,3,Albay,26.772222535024152,17968.69989714,90.0
Rainfed Palay,Camarines Norte,2012 Quarter 3,10239.0,2012,3,Camarines Norte,26.934482858695652,10634.99998596,82.079994
Rainfed Palay,Camarines Sur,2012 Quarter 3,28940.0,2012,3,Camarines Sur,26.75983497003525,35938.29998361,87.84
Rainfed Palay,Catanduanes,2012 Quarter 3,3841.0,2012,3,Catanduanes,27.493745570048308,5282.89998438,83.88
Rainfed Palay,Masbate,2012 Quarter 3,9639.0,2012,3,Masbate,27.117488413561077,15758.09994519,81.0
Rainfed Palay,Sorsogon,2012 Quarter 3,3751.0,2012,3,Sorsogon,26.983533742028985,10578.49996664,93.6
Palay,Albay,2012 Quarter 3,43553.0,2012,3,Albay,26.772222535024152,17968.69989714,90.0
Palay,Camarines Norte,2012 Quarter 3,24062.0,2012,3,Camarines Norte,26.934482858695652,10634.99998596,82.079994
Palay,Camarines Sur,2012 Quarter 3,133902.0,2012,3,Camarines Sur,26.75983497003525,35938.29998361,87.84
Palay,Catanduanes,2012 Quarter 3,7038.0,2012,3,Catanduanes,27.493745570048308,5282.89998438,83.88
Palay,Masbate,2012 Quarter 3,21411.0,2012,3,Masbate,27.117488413561077,15758.09994519,81.0
Palay,Sorsogon,2012 Quarter 3,27811.0,2012,3,Sorsogon,26.983533742028985,10578.49996664,93.6
White Corn,Albay,2012 Quarter 3,733.0,2012,3,Albay,26.772222535024152,17968.69989714,90.0
White Corn,Camarines Norte,2012 Quarter 3,271.0,2012,3,Camarines Norte,26.934482858695652,10634.99998596,82.079994
White Corn,Camarines Sur,2012 Quarter 3,2270.0,2012,3,Camarines Sur,26.75983497003525,35938.29998361,87.84
White Corn,Catanduanes,2012 Quarter 3,24.0,2012,3,Catanduanes,27.493745570048308,5282.89998438,83.88
White Corn,Masbate,2012 Quarter 3,18746.0,2012,3,Masbate,27.117488413561077,15758.09994519,81.0
White Corn,Sorsogon,2012 Quarter 3,51.0,2012,3,Sorsogon,26.983533742028985,10578.49996664,93.6
Yellow Corn,Albay,2012 Quarter 3,8090.0,2012,3,Albay,26.772222535024152,17968.69989714,90.0
Yellow Corn,Camarines Norte,2012 Quarter 3,280.0,2012,3,Camarines Norte,26.934482858695652,10634.99998596,82.079994
Yellow Corn,Camarines Sur,2012 Quarter 3,42173.0,2012,3,Camarines Sur,26.75983497003525,35938.29998361,87.84
Yellow Corn,Catanduanes,2012 Quarter 3,50.0,2012,3,Catanduanes,27.493745570048308,5282.89998438,83.88
Yellow Corn,Masbate,2012 Quarter 3,0.0,2012,3,Masbate,27.117488413561077,15758.09994519,81.0
Yellow Corn,Sorsogon,2012 Quarter 3,23.0,2012,3,Sorsogon,26.983533742028985,10578.49996664,93.6
Corn,Albay,2012 Quarter 3,8823.0,2012,3,Albay,26.772222535024152,17968.69989714,90.0
Corn,Camarines Norte,2012 Quarter 3,551.0,2012,3,Camarines Norte,26.934482858695652,10634.99998596,82.079994
Corn,Camarines Sur,2012 Quarter 3,44443.0,2012,3,Camarines Sur,26.75983497003525,35938.29998361,87.84
Corn,Catanduanes,2012 Quarter 3,74.0,2012,3,Catanduanes,27.493745570048308,5282.89998438,83.88
Corn,Masbate,2012 Quarter 3,18746.0,2012,3,Masbate,27.117488413561077,15758.09994519,81.0
Corn,Sorsogon,2012 Quarter 3,74.0,2012,3,Sorsogon,26.983533742028985,10578.49996664,93.6
Irrigated Palay,Albay,2012 Quarter 4,37553.0,2012,4,Albay,26.415091893115942,9881.39998614,94.32
Irrigated Palay,Camarines Norte,2012 Quarter 4,16389.0,2012,4,Camarines Norte,26.21672361594203,6195.80001402,78.12
Irrigated Palay,Camarines Sur,2012 Quarter 4,106016.0,2012,4,Camarines Sur,26.414507720622797,18249.30016627,83.520004
Irrigated Palay,Catanduanes,2012 Quarter 4,2837.0,2012,4,Catanduanes,26.865109573671496,5205.89997711,80.28
Irrigated Palay,Masbate,2012 Quarter 4,9342.0,2012,4,Masbate,26.93016630641822,9506.10011382,85.67999
Irrigated Palay,Sorsogon,2012 Quarter 4,25495.0,2012,4,Sorsogon,26.614247702173913,8597.09991121,108.0
Rainfed Palay,Albay,2012 Quarter 4,15024.0,2012,4,Albay,26.415091893115942,9881.39998614,94.32
Rainfed Palay,Camarines Norte,2012 Quarter 4,6499.0,2012,4,Camarines Norte,26.21672361594203,6195.80001402,78.12
Rainfed Palay,Camarines Sur,2012 Quarter 4,45007.0,2012,4,Camarines Sur,26.414507720622797,18249.30016627,83.520004
Rainfed Palay,Catanduanes,2012 Quarter 4,1526.0,2012,4,Catanduanes,26.865109573671496,5205.89997711,80.28
Rainfed Palay,Masbate,2012 Quarter 4,47831.0,2012,4,Masbate,26.93016630641822,9506.10011382,85.67999
Rainfed Palay,Sorsogon,2012 Quarter 4,12472.0,2012,4,Sorsogon,26.614247702173913,8597.09991121,108.0
Palay,Albay,2012 Quarter 4,52577.0,2012,4,Albay,26.415091893115942,9881.39998614,94.32
Palay,Camarines Norte,2012 Quarter 4,22888.0,2012,4,Camarines Norte,26.21672361594203,6195.80001402,78.12
Palay,Camarines Sur,2012 Quarter 4,151023.0,2012,4,Camarines Sur,26.414507720622797,18249.30016627,83.520004
Palay,Catanduanes,2012 Quarter 4,4363.0,2012,4,Catanduanes,26.865109573671496,5205.89997711,80.28
Palay,Masbate,2012 Quarter 4,57173.0,2012,4,Masbate,26.93016630641822,9506.10011382,85.67999
Palay,Sorsogon,2012 Quarter 4,37967.0,2012,4,Sorsogon,26.614247702173913,8597.09991121,108.0
White Corn,Albay,2012 Quarter 4,483.0,2012,4,Albay,26.415091893115942,9881.39998614,94.32
White Corn,Camarines Norte,2012 Quarter 4,105.0,2012,4,Camarines Norte,26.21672361594203,6195.80001402,78.12
White Corn,Camarines Sur,2012 Quarter 4,1666.0,2012,4,Camarines Sur,26.414507720622797,18249.30016627,83.520004
White Corn,Catanduanes,2012 Quarter 4,41.0,2012,4,Catanduanes,26.865109573671496,5205.89997711,80.28
White Corn,Masbate,2012 Quarter 4,820.0,2012,4,Masbate,26.93016630641822,9506.10011382,85.67999
White Corn,Sorsogon,2012 Quarter 4,30.0,2012,4,Sorsogon,26.614247702173913,8597.09991121,108.0
Yellow Corn,Albay,2012 Quarter 4,13399.0,2012,4,Albay,26.415091893115942,9881.39998614,94.32
Yellow Corn,Camarines Norte,2012 Quarter 4,0.0,2012,4,Camarines Norte,26.21672361594203,6195.80001402,78.12
Yellow Corn,Camarines Sur,2012 Quarter 4,18275.0,2012,4,Camarines Sur,26.414507720622797,18249.30016627,83.520004
Yellow Corn,Catanduanes,2012 Quarter 4,9.0,2012,4,Catanduanes,26.865109573671496,5205.89997711,80.28
Yellow Corn,Masbate,2012 Quarter 4,0.0,2012,4,Masbate,26.93016630641822,9506.10011382,85.67999
Yellow Corn,Sorsogon,2012 Quarter 4,22.0,2012,4,Sorsogon,26.614247702173913,8597.09991121,108.0
Corn,Albay,2012 Quarter 4,13882.0,2012,4,Albay,26.415091893115942,9881.39998614,94.32
Corn,Camarines Norte,2012 Quarter 4,105.0,2012,4,Camarines Norte,26.21672361594203,6195.80001402,78.12
Corn,Camarines Sur,2012 Quarter 4,19941.0,2012,4,Camarines Sur,26.414507720622797,18249.30016627,83.520004
Corn,Catanduanes,2012 Quarter 4,50.0,2012,4,Catanduanes,26.865109573671496,5205.89997711,80.28
Corn,Masbate,2012 Quarter 4,820.0,2012,4,Masbate,26.93016630641822,9506.10011382,85.67999
Corn,Sorsogon,2012 Quarter 4,52.0,2012,4,Sorsogon,26.614247702173913,8597.09991121,108.0
Irrigated Palay,Albay,2013 Quarter 1,32322.0,2013,1,Albay,25.735052659876544,10221.40006132,67.32
Irrigated Palay,Camarines Norte,2013 Quarter 1,13791.0,2013,1,Camarines Norte,25.445245810185185,5554.60000696,73.079994
Irrigated Palay,Camarines Sur,2013 Quarter 1,108823.0,2013,1,Camarines Sur,25.64601394054054,16192.90004149,73.079994
Irrigated Palay,Catanduanes,2013 Quarter 1,5217.0,2013,1,Catanduanes,26.10874514074074,5218.19998923,66.6
Irrigated Palay,Masbate,2013 Quarter 1,10997.0,2013,1,Masbate,26.20971432962963,9261.30006427,69.12
Irrigated Palay,Sorsogon,2013 Quarter 1,23425.0,2013,1,Sorsogon,25.970721407407407,10539.49999968,80.64
Rainfed Palay,Albay,2013 Quarter 1,8918.0,2013,1,Albay,25.735052659876544,10221.40006132,67.32
Rainfed Palay,Camarines Norte,2013 Quarter 1,6447.0,2013,1,Camarines Norte,25.445245810185185,5554.60000696,73.079994
Rainfed Palay,Camarines Sur,2013 Quarter 1,32629.0,2013,1,Camarines Sur,25.64601394054054,16192.90004149,73.079994
Rainfed Palay,Catanduanes,2013 Quarter 1,6097.0,2013,1,Catanduanes,26.10874514074074,5218.19998923,66.6
Rainfed Palay,Masbate,2013 Quarter 1,20952.0,2013,1,Masbate,26.20971432962963,9261.30006427,69.12
Rainfed Palay,Sorsogon,2013 Quarter 1,5636.0,2013,1,Sorsogon,25.970721407407407,10539.49999968,80.64
Palay,Albay,2013 Quarter 1,41240.0,2013,1,Albay,25.735052659876544,10221.40006132,67.32
Palay,Camarines Norte,2013 Quarter 1,20238.0,2013,1,Camarines Norte,25.445245810185185,5554.60000696,73.079994
Palay,Camarines Sur,2013 Quarter 1,141452.0,2013,1,Camarines Sur,25.64601394054054,16192.90004149,73.079994
Palay,Catanduanes,2013 Quarter 1,11314.0,2013,1,Catanduanes,26.10874514074074,5218.19998923,66.6
Palay,Masbate,2013 Quarter 1,31949.0,2013,1,Masbate,26.20971432962963,9261.30006427,69.12
Palay,Sorsogon,2013 Quarter 1,29061.0,2013,1,Sorsogon,25.970721407407407,10539.49999968,80.64
White Corn,Albay,2013 Quarter 1,709.0,2013,1,Albay,25.735052659876544,10221.40006132,67.32
White Corn,Camarines Norte,2013 Quarter 1,305.0,2013,1,Camarines Norte,25.445245810185185,5554.60000696,73.079994
White Corn,Camarines Sur,2013 Quarter 1,3871.0,2013,1,Camarines Sur,25.64601394054054,16192.90004149,73.079994
White Corn,Catanduanes,2013 Quarter 1,42.0,2013,1,Catanduanes,26.10874514074074,5218.19998923,66.6
White Corn,Masbate,2013 Quarter 1,10265.0,2013,1,Masbate,26.20971432962963,9261.30006427,69.12
White Corn,Sorsogon,2013 Quarter 1,44.0,2013,1,Sorsogon,25.970721407407407,10539.49999968,80.64
Yellow Corn,Albay,2013 Quarter 1,8785.0,2013,1,Albay,25.735052659876544,10221.40006132,67.32
Yellow Corn,Camarines Norte,2013 Quarter 1,121.0,2013,1,Camarines Norte,25.445245810185185,5554.60000696,73.079994
Yellow Corn,Camarines Sur,2013 Quarter 1,26242.0,2013,1,Camarines Sur,25.64601394054054,16192.90004149,73.079994
Yellow Corn,Catanduanes,2013 Quarter 1,16.0,2013,1,Catanduanes,26.10874514074074,5218.19998923,66.6
Yellow Corn,Masbate,2013 Quarter 1,626.0,2013,1,Masbate,26.20971432962963,9261.30006427,69.12
Yellow Corn,Sorsogon,2013 Quarter 1,17.0,2013,1,Sorsogon,25.970721407407407,10539.49999968,80.64
Corn,Albay,2013 Quarter 1,9494.0,2013,1,Albay,25.735052659876544,10221.40006132,67.32
Corn,Camarines Norte,2013 Quarter 1,426.0,2013,1,Camarines Norte,25.445245810185185,5554.60000696,73.079994
Corn,Camarines Sur,2013 Quarter 1,30113.0,2013,1,Camarines Sur,25.64601394054054,16192.90004149,73.079994
Corn,Catanduanes,2013 Quarter 1,58.0,2013,1,Catanduanes,26.10874514074074,5218.19998923,66.6
Corn,Masbate,2013 Quarter 1,10891.0,2013,1,Masbate,26.20971432962963,9261.30006427,69.12
Corn,Sorsogon,2013 Quarter 1,61.0,2013,1,Sorsogon,25.970721407407407,10539.49999968,80.64
Irrigated Palay,Albay,2013 Quarter 2,56558.0,2013,2,Albay,27.840653144688645,9993.59997717,60.120003
Irrigated Palay,Camarines Norte,2013 Quarter 2,14160.0,2013,2,Camarines Norte,27.91496166941392,5183.60003652,70.92
Irrigated Palay,Camarines Sur,2013 Quarter 2,127731.0,2013,2,Camarines Sur,27.944961633798634,20282.90020343,70.92
Irrigated Palay,Catanduanes,2013 Quarter 2,3037.0,2013,2,Catanduanes,28.24593028083028,3746.90007716,73.439995
Irrigated Palay,Masbate,2013 Quarter 2,17452.0,2013,2,Masbate,27.975709620617476,12050.39999093,56.88
Irrigated Palay,Sorsogon,2013 Quarter 2,28645.0,2013,2,Sorsogon,27.797976996336995,7512.39996202,59.76
Rainfed Palay,Albay,2013 Quarter 2,11152.0,2013,2,Albay,27.840653144688645,9993.59997717,60.120003
Rainfed Palay,Camarines Norte,2013 Quarter 2,7410.0,2013,2,Camarines Norte,27.91496166941392,5183.60003652,70.92
Rainfed Palay,Camarines Sur,2013 Quarter 2,32775.8,2013,2,Camarines Sur,27.944961633798634,20282.90020343,70.92
Rainfed Palay,Catanduanes,2013 Quarter 2,3199.0,2013,2,Catanduanes,28.24593028083028,3746.90007716,73.439995
Rainfed Palay,Masbate,2013 Quarter 2,39205.0,2013,2,Masbate,27.975709620617476,12050.39999093,56.88
Rainfed Palay,Sorsogon,2013 Quarter 2,8705.6,2013,2,Sorsogon,27.797976996336995,7512.39996202,59.76
Palay,Albay,2013 Quarter 2,67710.0,2013,2,Albay,27.840653144688645,9993.59997717,60.120003
Palay,Camarines Norte,2013 Quarter 2,21570.0,2013,2,Camarines Norte,27.91496166941392,5183.60003652,70.92
Palay,Camarines Sur,2013 Quarter 2,160506.8,2013,2,Camarines Sur,27.944961633798634,20282.90020343,70.92
Palay,Catanduanes,2013 Quarter 2,6236.0,2013,2,Catanduanes,28.24593028083028,3746.90007716,73.439995
Palay,Masbate,2013 Quarter 2,56657.0,2013,2,Masbate,27.975709620617476,12050.39999093,56.88
Palay,Sorsogon,2013 Quarter 2,37350.6,2013,2,Sorsogon,27.797976996336995,7512.39996202,59.76
White Corn,Albay,2013 Quarter 2,1047.0,2013,2,Albay,27.840653144688645,9993.59997717,60.120003
White Corn,Camarines Norte,2013 Quarter 2,421.0,2013,2,Camarines Norte,27.91496166941392,5183.60003652,70.92
White Corn,Camarines Sur,2013 Quarter 2,3826.0,2013,2,Camarines Sur,27.944961633798634,20282.90020343,70.92
White Corn,Catanduanes,2013 Quarter 2,61.0,2013,2,Catanduanes,28.24593028083028,3746.90007716,73.439995
White Corn,Masbate,2013 Quarter 2,3625.0,2013,2,Masbate,27.975709620617476,12050.39999093,56.88
White Corn,Sorsogon,2013 Quarter 2,32.0,2013,2,Sorsogon,27.797976996336995,7512.39996202,59.76
Yellow Corn,Albay,2013 Quarter 2,27188.0,2013,2,Albay,27.840653144688645,9993.59997717,60.120003
Yellow Corn,Camarines Norte,2013 Quarter 2,146.0,2013,2,Camarines Norte,27.91496166941392,5183.60003652,70.92
Yellow Corn,Camarines Sur,2013 Quarter 2,51604.0,2013,2,Camarines Sur,27.944961633798634,20282.90020343,70.92
Yellow Corn,Catanduanes,2013 Quarter 2,35.0,2013,2,Catanduanes,28.24593028083028,3746.90007716,73.439995
Yellow Corn,Masbate,2013 Quarter 2,314.0,2013,2,Masbate,27.975709620617476,12050.39999093,56.88
Yellow Corn,Sorsogon,2013 Quarter 2,10.0,2013,2,Sorsogon,27.797976996336995,7512.39996202,59.76
Corn,Albay,2013 Quarter 2,28235.0,2013,2,Albay,27.840653144688645,9993.59997717,60.120003
Corn,Camarines Norte,2013 Quarter 2,567.0,2013,2,Camarines Norte,27.91496166941392,5183.60003652,70.92
Corn,Camarines Sur,2013 Quarter 2,55430.0,2013,2,Camarines Sur,27.944961633798634,20282.90020343,70.92
Corn,Catanduanes,2013 Quarter 2,96.0,2013,2,Catanduanes,28.24593028083028,3746.90007716,73.439995
Corn,Masbate,2013 Quarter 2,3939.0,2013,2,Masbate,27.975709620617476,12050.39999093,56.88
Corn,Sorsogon,2013 Quarter 2,42.0,2013,2,Sorsogon,27.797976996336995,7512.39996202,59.76
Irrigated Palay,Albay,2013 Quarter 3,38142.0,2013,3,Albay,26.73759214070048,20902.89991113,81.36
Irrigated Palay,Camarines Norte,2013 Quarter 3,16282.0,2013,3,Camarines Norte,26.824785111413046,12209.99996908,72.36
Irrigated Palay,Camarines Sur,2013 Quarter 3,104292.0,2013,3,Camarines Sur,26.769891723266742,40541.00017882,76.67999
Irrigated Palay,Catanduanes,2013 Quarter 3,4000.0,2013,3,Catanduanes,27.382183776570045,6982.09991642,73.079994
Irrigated Palay,Masbate,2013 Quarter 3,13232.0,2013,3,Masbate,27.106488375776397,21298.30003329,73.079994
Irrigated Palay,Sorsogon,2013 Quarter 3,11282.0,2013,3,Sorsogon,26.91762033695652,14420.20007505,86.76
Rainfed Palay,Albay,2013 Quarter 3,4922.0,2013,3,Albay,26.73759214070048,20902.89991113,81.36
Rainfed Palay,Camarines Norte,2013 Quarter 3,8649.0,2013,3,Camarines Norte,26.824785111413046,12209.99996908,72.36
Rainfed Palay,Camarines Sur,2013 Quarter 3,12695.0,2013,3,Camarines Sur,26.769891723266742,40541.00017882,76.67999
Rainfed Palay,Catanduanes,2013 Quarter 3,3370.0,2013,3,Catanduanes,27.382183776570045,6982.09991642,73.079994
Rainfed Palay,Masbate,2013 Quarter 3,9951.0,2013,3,Masbate,27.106488375776397,21298.30003329,73.079994
Rainfed Palay,Sorsogon,2013 Quarter 3,1064.0,2013,3,Sorsogon,26.91762033695652,14420.20007505,86.76
Palay,Albay,2013 Quarter 3,43064.0,2013,3,Albay,26.73759214070048,20902.89991113,81.36
Palay,Camarines Norte,2013 Quarter 3,24931.0,2013,3,Camarines Norte,26.824785111413046,12209.99996908,72.36
Palay,Camarines Sur,2013 Quarter 3,116987.0,2013,3,Camarines Sur,26.769891723266742,40541.00017882,76.67999
Palay,Catanduanes,2013 Quarter 3,7370.0,2013,3,Catanduanes,27.382183776570045,6982.09991642,73.079994
Palay,Masbate,2013 Quarter 3,23183.0,2013,3,Masbate,27.106488375776397,21298.30003329,73.079994
Palay,Sorsogon,2013 Quarter 3,12346.0,2013,3,Sorsogon,26.91762033695652,14420.20007505,86.76
White Corn,Albay,2013 Quarter 3,637.0,2013,3,Albay,26.73759214070048,20902.89991113,81.36
White Corn,Camarines Norte,2013 Quarter 3,377.0,2013,3,Camarines Norte,26.824785111413046,12209.99996908,72.36
